Index,FOF_Halo_ID_At99,Subhalo_ID_At84,FOF_Halo_ID_At84,GroupPos,Group_R_Crit200,Group_R_Crit500
0,0,0,0,"[174854.171875, 266428.5625, 449979.5625]",1860.4200439453125,1197.9010009765625
1,252455,151738,262218,"[454200.125, 100696.671875, 104351.671875]",2100.587890625,1392.0205078125
2,476245,281538,488885,"[197256.203125, 34132.7578125, 317635.21875]",1765.748779296875,1179.1119384765625
3,692426,401947,708444,"[278247.15625, 475043.65625, 506404.21875]",1762.42333984375,1162.470458984375
4,880597,515440,905707,"[56376.2578125, 460767.03125, 327562.1875]",1367.6585693359375,913.919677734375
5,1068507,629105,1099467,"[130672.9140625, 156285.390625, 490169.71875]",1755.205322265625,1122.504638671875
6,1263653,731681,1289969,"[337248.71875, 67484.5625, 455708.1875]",1964.3800048828125,1243.9818115234375
7,1431487,830848,1467438,"[354117.21875, 9490.7490234375, 88722.515625]",1582.259765625,1040.135009765625
8,1580995,928389,1617102,"[393305.25, 214616.859375, 643688.0]",2025.0919189453125,1310.01708984375
9,1763481,1014414,1791552,"[331063.09375, 663874.75, 101880.9609375]",1760.2232666015625,1154.9609375
10,1921024,1110520,1954520,"[494728.21875, 594422.75, 297490.09375]",1876.7288818359375,1174.2291259765625
11,2069291,1194856,2106983,"[180238.96875, 456056.09375, 103693.15625]",1892.212158203125,1217.607421875
12,2213486,1278811,2249928,"[157958.25, 158273.03125, 207057.515625]",1956.1519775390625,1270.3167724609375
13,2380799,1358970,2412912,"[164586.859375, 89888.03125, 593528.6875]",1579.3607177734375,1065.684326171875
14,2507618,1434922,2560083,"[141957.984375, 293978.4375, 269115.125]",1936.968505859375,1272.477783203125
15,2637623,1510099,2697771,"[179623.015625, 155923.796875, 20367.986328125]",1878.086181640625,1182.457763671875
16,2771226,1579820,2825627,"[592992.125, 93215.46875, 527188.4375]",1511.45751953125,1020.5982666015625
17,2892630,1648682,2952601,"[304777.78125, 97996.609375, 17693.59375]",1812.681884765625,1181.231689453125
18,3020669,1717913,3080297,"[590723.6875, 251141.015625, 6923.79052734375]",1819.589599609375,1158.30126953125
19,3135769,1783556,3196088,"[22495.6484375, 574241.9375, 272651.3125]",1693.7843017578125,1058.491455078125
20,3238091,1850099,3298239,"[177309.40625, 666334.0, 454878.1875]",1601.426025390625,1059.2725830078125
21,3343359,1918602,3407987,"[157548.65625, 158500.84375, 502291.03125]",1395.689208984375,922.57421875
22,3457081,1986010,3533783,"[197167.359375, 421462.8125, 227496.609375]",1823.2064208984375,1222.9349365234375
23,3556542,2044071,3637925,"[323794.09375, 87943.3828125, 472915.84375]",1740.22314453125,1011.4503173828125
24,3656685,2103793,3741376,"[621375.375, 39662.11328125, 343294.96875]",1715.9384765625,1096.3826904296875
25,3758330,2169273,3846078,"[571958.9375, 221355.390625, 549769.25]",1628.631591796875,956.5657958984375
26,3863281,2226258,3958049,"[178252.984375, 586175.4375, 361092.4375]",1537.335693359375,946.9669799804688
27,3960854,2284021,4060554,"[450947.15625, 449493.46875, 262372.90625]",1499.4940185546875,979.5807495117188
28,4054274,2346051,4164126,"[194968.921875, 151960.078125, 98677.0859375]",1550.971923828125,1003.1803588867188
29,4152102,2403409,4268069,"[677169.5625, 963.56201171875, 474387.1875]",1857.3704833984375,1232.2374267578125
30,4254230,2465493,4365334,"[527087.625, 424664.8125, 550272.25]",1344.7840576171875,831.9898071289062
31,4356618,2526359,4471204,"[497567.1875, 445210.53125, 202413.09375]",1879.329345703125,1231.7796630859375
32,4461296,2586070,4578137,"[181524.125, 456106.90625, 167418.0625]",1735.7431640625,1100.6397705078125
