Index,FOF_Halo_ID_At99,Subhalo_ID_At99,FOF_Halo_ID_At92,Subhalo_ID_At92,GroupPos,Group_R_Crit200,Group_R_Crit500
0,0,0,0,"[175095.84375, 265782.75, 450873.8125]",1778.91650390625,1156.8743896484375
1,252455,144230,257723,"[454000.5, 100637.6796875, 104640.2421875]",1974.925048828125,1256.3546142578125
2,476245,267561,486080,"[197099.84375, 33469.765625, 319129.125]",1669.50634765625,1074.51904296875
3,692426,381653,698676,"[277734.0, 474777.53125, 505498.875]",1945.036865234375,1297.2445068359375
4,880597,489226,889375,"[56044.9609375, 461471.53125, 327469.09375]",1333.88818359375,778.7691040039062
5,1068507,597202,1083458,"[130554.84375, 155756.828125, 490309.71875]",1653.173828125,1080.03662109375
6,1263653,694698,1269588,"[338497.65625, 67602.2421875, 456335.03125]",2000.40869140625,1270.86962890625
7,1431487,788086,1443778,"[353976.3125, 9990.5048828125, 89560.2265625]",1816.0965576171875,1225.7724609375
8,1580995,880793,1587349,"[393228.78125, 214970.453125, 643713.1875]",1923.14794921875,1277.9237060546875
9,1763481,962093,1773139,"[331429.40625, 664380.0625, 102491.09375]",1726.7880859375,1076.78369140625
10,1921024,1053813,1933327,"[495043.09375, 594459.0, 297068.25]",1842.400146484375,1199.4200439453125
11,2069291,1132996,2087308,"[179954.03125, 456445.59375, 103591.53125]",1701.0123291015625,1082.22509765625
12,2213486,1213480,2237551,"[158338.171875, 158718.671875, 206973.765625]",1840.9744873046875,1194.059326171875
13,2380799,1289136,2401124,"[164732.203125, 90124.453125, 593405.0625]",1670.4298095703125,1113.69384765625
14,2507618,1360963,2538259,"[141918.96875, 294051.59375, 269341.5]",1932.409912109375,1287.2095947265625
15,2637623,1432002,2672838,"[179962.25, 155929.71875, 19942.6640625]",1690.77587890625,1105.214111328125
16,2771226,1498574,2803773,"[592344.0, 93126.6015625, 527488.125]",1517.3209228515625,954.5234985351562
17,2892630,1563858,2926112,"[305113.46875, 98192.75, 18360.189453125]",1814.2283935546875,1208.7547607421875
18,3020669,1629433,3056204,"[590476.5, 251866.859375, 6781.45654296875]",1861.3663330078125,1254.30859375
