z_bin,score_bin,mean,std_error,sample_count
72-77 z,0.09754773181169125,0.2723702299781133,0.007616073334339717,289
72-77 z,0.4081757764326371,0.3077458210979617,0.0061560446421713485,344
72-77 z,0.8535874682289541,0.3119319134010376,0.006163625317366392,342
72-77 z,1.4645479128043108,0.29669144998580893,0.005594863037944738,370
72-77 z,4.351871836383346,0.26598626622945337,0.004134992893265297,412
77-82 z,0.09754773181169125,0.23282059744126926,0.005363593581274145,303
77-82 z,0.4081757764326371,0.2598802335403452,0.005324688987000785,382
77-82 z,0.8535874682289541,0.2375740988573051,0.004858413738483659,340
77-82 z,1.4645479128043108,0.24117269222307358,0.004518128271639106,380
77-82 z,4.351871836383346,0.22575996457479786,0.003720201222460577,352
82-87 z,0.09754773181169125,0.18328962110195365,0.0037196617287560277,426
82-87 z,0.4081757764326371,0.1968585553105111,0.0037993041280216322,337
82-87 z,0.8535874682289541,0.1930211239811013,0.004206094747869503,377
82-87 z,1.4645479128043108,0.17449907406838067,0.0038221667111898107,306
82-87 z,4.351871836383346,0.16856369341554464,0.0034905855079747955,313
