z_bin,score_bin,mean,std_error,sample_count
72-77 z,0.09754773181169125,0.17033158107451127,0.004319516287688142,289
72-77 z,0.4081757764326371,0.2012284492209239,0.00453316159547475,344
72-77 z,0.8535874682289541,0.2011676001130439,0.004461792690548191,342
72-77 z,1.4645479128043108,0.18333080319062206,0.0039621213667224205,370
72-77 z,4.351871836383346,0.15486056701401063,0.0028160473656892553,412
77-82 z,0.09754773181169125,0.13470639454053132,0.0034536715866672306,303
77-82 z,0.4081757764326371,0.15403773070452986,0.0037278434113656965,382
77-82 z,0.8535874682289541,0.1382787802333735,0.0032161439251691803,340
77-82 z,1.4645479128043108,0.1408431712301436,0.003471530427776754,380
77-82 z,4.351871836383346,0.12374037378251827,0.00245744235317688,352
82-87 z,0.09754773181169125,0.09999134791450315,0.0023921439381822795,426
82-87 z,0.4081757764326371,0.10775791848990293,0.0024452840563667522,337
82-87 z,0.8535874682289541,0.10157620719265652,0.002595874803065905,377
82-87 z,1.4645479128043108,0.09269801355475711,0.002421524672649194,306
82-87 z,4.351871836383346,0.08862779284426318,0.002204525481062983,313
