z_bin,score_bin,mean,std_error,sample_count
72-77 z,0.09754773181169125,0.23685911961728115,0.005927785168539056,289
72-77 z,0.4081757764326371,0.27522057398561545,0.005234384559261275,344
72-77 z,0.8535874682289541,0.27527526058024854,0.005354503803881601,342
72-77 z,1.4645479128043108,0.2615496441051166,0.005021902454183811,370
72-77 z,4.351871836383346,0.22888095770301958,0.0038346461347546204,412
77-82 z,0.09754773181169125,0.19413495029911867,0.004746689272470027,303
77-82 z,0.4081757764326371,0.22263643923538678,0.004963912058603177,382
77-82 z,0.8535874682289541,0.20151172624024696,0.0043173459438053795,340
77-82 z,1.4645479128043108,0.2050099101965523,0.004175217724364794,380
77-82 z,4.351871836383346,0.18742967433971305,0.0034890319866500673,352
82-87 z,0.09754773181169125,0.1456276752946473,0.003185449254746856,426
82-87 z,0.4081757764326371,0.15772833781091214,0.003454839693915161,337
82-87 z,0.8535874682289541,0.15267591174206832,0.003709562608626676,377
82-87 z,1.4645479128043108,0.1377696107750106,0.003382970364311964,306
82-87 z,4.351871836383346,0.13313935717191278,0.0030325526473815308,313
