z_bin,score_bin,mean,std_error,sample_count
72-77 z,0.157800670785888,0.33630065117316016,0.006418465459418354,428
72-77 z,0.5752528374647679,0.30735717221044273,0.005564884451770179,340
72-77 z,1.1195459598636326,0.2930010915109139,0.005354549817095195,388
72-77 z,1.8439004207029694,0.26160416767591543,0.0045777985865979665,300
72-77 z,5.931887616561557,0.23262013429614686,0.0046888689346832775,301
77-82 z,0.157800670785888,0.28444252144009813,0.005512166636182022,367
77-82 z,0.5752528374647679,0.2581604246536954,0.004545292602648238,383
77-82 z,1.1195459598636326,0.24230995788647777,0.0046197849117762795,327
77-82 z,1.8439004207029694,0.22390893048280378,0.0039099462449636736,337
77-82 z,5.931887616561557,0.18585627000359345,0.003353586390722184,343
82-87 z,0.157800670785888,0.21865908887297988,0.004483939416243238,356
82-87 z,0.5752528374647679,0.20474037123661032,0.0037462716197333087,362
82-87 z,1.1195459598636326,0.1825191855831724,0.0033214143804221967,344
82-87 z,1.8439004207029694,0.1665197415018353,0.0036395578083076503,333
82-87 z,5.931887616561557,0.14578997503749197,0.0028072088411227824,365
87-93 z,0.157800670785888,0.15219509833613584,0.003460466964115151,417
87-93 z,0.5752528374647679,0.13712632444491418,0.0028347116537350433,403
87-93 z,1.1195459598636326,0.1295702091220138,0.002881625514352572,418
87-93 z,1.8439004207029694,0.1049690204468552,0.001977154692491428,433
87-93 z,5.931887616561557,0.09585809073154877,0.0018066265210547662,432
93-100 z,0.157800670785888,0.06222581683583796,0.0019832966199185417,400
93-100 z,0.5752528374647679,0.059052237500361024,0.0017044210877636334,479
93-100 z,1.1195459598636326,0.05229485326191356,0.0016042434826328545,491
93-100 z,1.8439004207029694,0.04659891662077322,0.0012485634545707082,565
93-100 z,5.931887616561557,0.03998752940470975,0.001050913463882123,526
