z_bin,score_bin,mean,std_error,sample_count
72-77 z,0.157800670785888,0.30240016268057307,0.005336873731109543,428
72-77 z,0.5752528374647679,0.26624672527710663,0.004719174948246309,340
72-77 z,1.1195459598636326,0.26189513342020837,0.004483087462754643,388
72-77 z,1.8439004207029694,0.22644679986476432,0.004152810630866289,300
72-77 z,5.931887616561557,0.1954954055928789,0.003999403262523138,301
77-82 z,0.157800670785888,0.2483647269735289,0.005056503505093914,367
77-82 z,0.5752528374647679,0.21757047992739684,0.004128650917622759,383
77-82 z,1.1195459598636326,0.2065817013629676,0.004192932393278263,327
77-82 z,1.8439004207029694,0.18622246069323783,0.0035906154850072077,337
77-82 z,5.931887616561557,0.15007135184173154,0.002794000030146168,343
82-87 z,0.157800670785888,0.1797931752749695,0.004093212117071779,356
82-87 z,0.5752528374647679,0.16449805551433266,0.003306789492871693,362
82-87 z,1.1195459598636326,0.1425474782091775,0.0028375490555527117,344
82-87 z,1.8439004207029694,0.1300031181473321,0.0030437164414323496,333
82-87 z,5.931887616561557,0.11161482315584097,0.002266677750905528,365
87-93 z,0.157800670785888,0.11792030821293138,0.002866483524512759,417
87-93 z,0.5752528374647679,0.10392617892035468,0.0022475145299902417,403
87-93 z,1.1195459598636326,0.09807132084413371,0.0022285447736182995,418
87-93 z,1.8439004207029694,0.0784036954209006,0.001493476225476344,433
87-93 z,5.931887616561557,0.07047021425496974,0.0013902561162982378,432
93-100 z,0.157800670785888,0.04563676487606918,0.0014894898441743377,400
93-100 z,0.5752528374647679,0.043699182420583335,0.0012626771423430148,479
93-100 z,1.1195459598636326,0.03829376967548062,0.0012203086237805865,491
93-100 z,1.8439004207029694,0.03408262071125355,0.0009379161077448791,565
93-100 z,5.931887616561557,0.028866935622942853,0.0007747736245286101,526
