Feature,Importance Mean,Importance Std
delta_v_abs,0.007292800541300948,0.00219487132435066
std_r_0,0.013416765597657764,0.004634894302516196
std_r_1,0.006099474186185972,0.0033835248232715305
std_v_0,0.05029598261024765,0.009740363027597175
std_v_1,0.011746526258833389,0.007712960738272252
bic_penalized_diff,0.05868087322131632,0.011373054114440135
elongation_ratio,0.029372505194019783,0.009258816113797518
redshift,0.03027172241274919,0.011948880926002997
mass_ratio,0.055004867832300686,0.011361450293040134
std_r,0.0018584259299997629,0.0038026586165860257
std_v,0.45462997084683143,0.028041474332815036
