Feature,Importance Mean,Importance Std
delta_v_abs,0.014318337547888938,0.00893797111089591
std_r_0,0.032839106152177944,0.007252908185367961
std_r_1,0.03375326955031971,0.005211610816369052
std_v_0,0.013850846864730282,0.0023476444218757772
std_v_1,0.030074731727815572,0.0055237134955082225
bic_penalized_diff,0.03738714859145117,0.010259217116764995
elongation_ratio,0.03046813535794911,0.009621581915287454
redshift,0.042560527880647715,0.016189886518800725
mass_ratio,0.1910556759508747,0.018288500176367503
std_r,0.03387673356911168,0.00888692576392246
std_v,0.12515561750579496,0.013473132962772116
