Feature,Importance Mean,Importance Std
delta_v_abs,0.011165924032005581,0.0019374526280895024
std_r_0,0.017770708839567217,0.00428138650551128
std_r_1,0.01755245012771044,0.002771495069328728
std_v_0,0.025767318040463137,0.0048128300012204046
std_v_1,0.02872281373996578,0.004392430232729833
bic_penalized_diff,0.013168267093841201,0.005435758768999094
elongation_ratio,0.03229757947996369,0.006439977415795268
redshift,0.009876329773697734,0.0011955770104168958
mass_ratio,0.022405779322448038,0.004341941801285383
std_r,0.007398952194990871,0.00393590296632952
std_v,0.5681946965938213,0.01371803568210964
