Feature,Importance Mean,Importance Std
delta_r_scaled,0.0017132352899250746,0.0023649708326514427
mean_v_0,-0.002382104621926784,0.00254732960315085
mean_v_1,0.007136051592018388,0.0022162668177331314
delta_v_abs,0.01474687823531592,0.0037499939276287126
std_r_0,0.014993772884713773,0.005354147889200415
std_r_1,0.018608773141653934,0.003996030841085035
std_v_0,0.0045879200476864335,0.0025038535272603507
std_v_1,0.0021469612466055166,0.0034230576006745563
number_ratio,0.008366505886893782,0.009301888807288139
bic_1,0.3895525452948281,0.03303838142754076
bic_2,0.2361651287064695,0.01951963532919451
bic_penalized_diff,0.05431627668069998,0.011832760482192487
elongation_ratio,0.008177783314771491,0.00580132030116821
redshift,0.04089342198040162,0.009808098924024776
mass_ratio,0.042843803673372614,0.011893858639879436
std_r,0.04816830355207772,0.008336254067603716
std_v,0.07334474630811105,0.014009213558416082
