Feature,Importance Mean,Importance Std
delta_r_scaled,-0.0052921111050899805,0.004063726444206913
mean_v_0,0.0026703779958965556,0.0026718579850233026
mean_v_1,-0.004765376742321503,0.01241377501474771
delta_v_abs,0.01361346727954148,0.0064059656546220515
std_r_0,-0.00790446093015077,0.003592154273724995
std_r_1,-0.0030104545153463837,0.0016896665882746252
std_v_0,0.000691945579456854,0.002858803106204278
std_v_1,0.018111589423432307,0.006029375572958635
number_ratio,-5.741855426004694e-05,0.005260683191664405
bic_1,0.23755730159983215,0.011762462670045118
bic_2,0.22349952772969991,0.023149135900993868
bic_penalized_diff,0.009602374871576258,0.0038119306377947778
elongation_ratio,0.0027515884597832164,0.003746624068845937
redshift,0.04262119271277402,0.016620824204937757
mass_ratio,0.1188998367262631,0.01653474994614646
std_r,0.025131276794146208,0.007627450610688934
std_v,0.0017280253292642378,0.0017894079219828952
