Feature,Importance Mean,Importance Std
delta_r_scaled,-0.0012884289034639008,0.002553874755337028
mean_v_0,-0.004253891017245559,0.0016929503757000038
mean_v_1,-0.0015234672301400408,0.0012586596543659682
delta_v_abs,0.0003790412594363524,0.002227327012036987
std_r_0,0.0032055112860668532,0.0020263391051103504
std_r_1,0.01804888418854981,0.0046056279257519015
std_v_0,0.008604418820820758,0.0013258780085208218
std_v_1,0.01037951445402353,0.0025134772656128777
number_ratio,0.0045960252441954565,0.004648537231781896
bic_1,0.10431111288374986,0.008389495953814335
bic_2,0.18488724899407524,0.006891383812912221
bic_penalized_diff,0.020156269632881262,0.0066065683480714815
elongation_ratio,0.010286303722057456,0.0024915236530032524
redshift,0.011176790671315029,0.0021202640288461097
mass_ratio,0.039553328973379785,0.005921559761570938
std_r,0.019074075248543588,0.0031108002445188994
std_v,0.3112725169731279,0.01164853800813252
